one,00:00:00.160,00:00:00.460,one
"A, B.",00:00:01.420,00:00:02.550,"A, B."
See?,00:00:02.810,00:00:03.260,See?
D.,00:00:03.610,00:00:04.160,D.
E.,00:00:04.410,00:00:04.800,E.
F.,00:00:05.290,00:00:05.750,F.
T,00:00:06.030,00:00:06.380,T
Edge.,00:00:06.880,00:00:07.400,Edge.
I,00:00:07.660,00:00:08.090,I
See?,00:00:08.400,00:00:08.880,See?
Que el...,00:00:09.330,00:00:10.740,Que el...
M.,00:00:10.980,00:00:11.540,M.
and,00:00:11.770,00:00:12.320,and
Oh.,00:00:12.580,00:00:13.110,Oh.
B.,00:00:13.470,00:00:13.790,B.
you,00:00:14.220,00:00:14.750,you
All right.,00:00:15.080,00:00:15.560,All right.
is,00:00:16.000,00:00:16.720,is
D.,00:00:16.880,00:00:17.300,D.
you,00:00:17.670,00:00:18.320,you
v w x y,00:00:18.470,00:00:21.040,v w x y
Z.,00:00:21.240,00:00:21.650,Z.
one,00:00:23.500,00:00:24.080,one
3.,00:00:25.090,00:00:25.590,3.
full,00:00:26.300,00:00:26.870,full
Bye.,00:00:27.650,00:00:28.230,Bye.
seven,00:00:28.760,00:00:29.570,seven
12,00:00:30.010,00:00:30.600,12
15,00:00:30.960,00:00:31.780,15
29,00:00:32.210,00:00:33.050,29
there,00:00:33.700,00:00:34.260,there
if,00:00:35.080,00:00:35.500,if
Alpha.,00:00:36.410,00:00:37.110,Alpha.
beta,00:00:37.600,00:00:38.180,beta
Delta.,00:00:39.020,00:00:39.640,Delta.
Good.,00:00:40.370,00:00:40.790,Good.
Adapt.,00:00:41.440,00:00:42.010,Adapt.
Dime.,00:00:43.440,00:00:43.970,Dime.
has,00:00:44.450,00:00:45.120,has
Look,00:00:45.880,00:00:46.420,Look
people,00:00:47.140,00:00:47.800,people
number,00:00:48.130,00:00:48.860,number
water,00:00:49.350,00:00:49.980,water
Now,00:00:50.490,00:00:51.120,Now
find.,00:00:51.570,00:00:52.160,find.
Google,00:00:52.630,00:00:53.280,Google
Hypothesis,00:00:53.640,00:00:54.480,Hypothesis
Super vision.,00:00:54.740,00:00:55.800,Super vision.
download,00:00:56.110,00:00:56.870,download
Paragraph.,00:00:57.260,00:00:58.070,Paragraph.
paragraph,00:01:00.000,00:01:00.690,paragraph
Shift.,00:01:00.940,00:01:01.500,Shift.
control,00:01:02.080,00:01:02.860,control
November,00:01:03.060,00:01:03.870,November
Bravo.,00:01:04.190,00:01:04.760,Bravo.
Oscar.,00:01:05.270,00:01:05.940,Oscar.
Mike.,00:01:06.440,00:01:06.950,Mike.
India,00:01:07.510,00:01:08.140,India
Charlie.,00:01:08.600,00:01:09.270,Charlie.
uniform,00:01:09.560,00:01:10.310,uniform
backspace,00:01:10.510,00:01:11.420,backspace
Escape.,00:01:12.000,00:01:12.690,Escape.
upward,00:01:13.190,00:01:13.900,upward
circular,00:01:14.700,00:01:15.550,circular
Composure.,00:01:16.020,00:01:16.920,Composure.
footwork.,00:01:17.330,00:01:17.930,footwork.
Journalism,00:01:18.440,00:01:19.400,Journalism
lighten,00:01:19.640,00:01:20.340,lighten
Advice,00:01:20.550,00:01:21.220,Advice
"choice, employment.",00:01:22.000,00:01:23.590,"choice, employment."
immovable,00:01:23.910,00:01:24.820,immovable
message,00:01:25.470,00:01:26.110,message
I'll start the massage.,00:01:26.330,00:01:27.210,I'll start the massage.
Moisten.,00:01:28.100,00:01:28.770,Moisten.
Three.,00:01:30.130,00:01:30.660,Three.
knife,00:01:31.280,00:01:31.940,knife
spoon,00:01:32.360,00:01:33.090,spoon
Banana.,00:01:33.460,00:01:34.190,Banana.
Monkey.,00:01:34.400,00:01:34.850,Monkey.
1.,00:01:37.250,00:01:37.770,1.
3.,00:01:38.080,00:01:38.620,3.
for,00:01:38.920,00:01:39.410,for
Five.,00:01:39.740,00:01:40.260,Five.
Seven.,00:01:40.730,00:01:41.380,Seven.
12.,00:01:41.590,00:01:42.120,12.
15,00:01:42.350,00:01:43.100,15
39,00:01:43.480,00:01:44.280,39
Dear Eve.,00:01:44.850,00:01:46.120,Dear Eve.
"Alpha, Beta.",00:01:46.580,00:01:47.910,"Alpha, Beta."
Delta.,00:01:48.390,00:01:49.030,Delta.
Good.,00:01:49.380,00:01:49.840,Good.
adapt,00:01:50.060,00:01:50.620,adapt
time.,00:01:51.760,00:01:52.470,time.
Health,00:01:52.620,00:01:53.360,Health
Look.,00:01:53.770,00:01:54.270,Look.
People number,00:01:54.740,00:01:56.060,People number
water,00:01:56.220,00:01:56.880,water
No.,00:01:57.090,00:01:57.560,No.
Fine.,00:01:58.110,00:01:58.700,Fine.
"Giggle, Hypothesis, Supervision, Download, Paragraph.",00:01:59.050,00:02:03.090,"Giggle, Hypothesis, Supervision, Download, Paragraph."
paragraph,00:02:04.850,00:02:05.570,paragraph
Shift,00:02:05.770,00:02:06.280,Shift
Control November Bravo,00:02:06.660,00:02:09.030,Control November Bravo
"Oscar, Mike.",00:02:09.250,00:02:10.580,"Oscar, Mike."
India,00:02:11.120,00:02:11.720,India
Charlie,00:02:12.270,00:02:13.010,Charlie
"uniform, backspace.",00:02:13.350,00:02:15.130,"uniform, backspace."
escape.,00:02:15.320,00:02:15.990,escape.
upward,00:02:16.380,00:02:17.070,upward
circular,00:02:17.690,00:02:18.520,circular
composure.,00:02:18.690,00:02:19.500,composure.
footwork,00:02:19.670,00:02:20.230,footwork
"journalism, python.",00:02:20.450,00:02:22.290,"journalism, python."
Advice?,00:02:22.480,00:02:23.140,Advice?
choice,00:02:23.300,00:02:23.830,choice
Employment. Immovable.,00:02:24.040,00:02:25.770,Employment. Immovable.
Massage.,00:02:26.060,00:02:26.640,Massage.
Moisten.,00:02:26.990,00:02:27.670,Moisten.
tree knife.,00:02:27.890,00:02:29.100,tree knife.
spoon.,00:02:29.330,00:02:29.980,spoon.
Banana,00:02:30.300,00:02:30.890,Banana
Monkey.,00:02:31.080,00:02:31.610,Monkey.
Each untimely income loss,00:02:36.660,00:02:38.550,Each untimely income loss
Each untimely income loss coincided with the breakdown of a heating system part.,00:02:38.700,00:02:41.790,coincided with a breakdown of heating system parts.
Alice's ability to work without supervision is noteworthy.,00:02:42.520,00:02:46.070,Alice's ability to work without supervision is noteworthy.
Special task forces rescue hostages from kidnappers.,00:02:46.790,00:02:50.440,Special task forces rescue hostages from kidnappers.
love,00:02:51.180,00:02:51.660,love
Dance and sing.,00:02:51.880,00:02:53.380,Dance and sing.
If fortune smiles upon you.,00:02:53.610,00:02:55.370,If fortune smiles upon you.
The same shelter could be built into an embankment or below ground level.,00:02:55.850,00:02:58.440,The same shelter could be built into an embankment.
embankment or below ground level.,00:02:58.780,00:03:01.020,embankment or below ground level.
seg_0132,00:03:01.740,00:03:02.170,
When the sunlight,00:03:02.450,00:03:03.360,When the sunlight
"strikes raindrops in the air, they act as a prism and form a rainbow.",00:03:03.530,00:03:08.080,"strikes raindrops in the air, they act as a prism and form a rainbow."
The rainbow is a division of white light into many beautiful colors.,00:03:08.270,00:03:11.750,The rainbow is a division of white light into many beautiful colors.
These take the shape of a round arc.,00:03:12.540,00:03:14.870,These take the shape of a round arc.
with its path high above and its two ends apparently beyond the horizon.,00:03:15.320,00:03:20.100,with its path high above and its two ends apparently beyond the horizon.
"There is, according to legend, a boiling pot of gold at one end.",00:03:20.620,00:03:25.900,"There is, according to legend, a boiling pot of gold at one end."
People look but no one ever finds it.,00:03:26.430,00:03:29.310,People look but no one ever finds it.
"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",00:03:30.820,00:03:37.290,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."
"Throughout the centuries, people have explained the rainbow in various ways.",00:03:37.970,00:03:41.790,"Throughout the centuries, people have explained the rainbow in various ways."
Some have accepted it as a miracle without physical explanation.,00:03:42.260,00:03:46.300,Some have accepted it as a miracle without physical explanation.
"To the Hebrews, it was a token that there would be no more universal floods.",00:03:47.120,00:03:52.260,"To the Hebrews, it was a token that there would be no more universal floods."
The Greeks used to imagine that it was a sign from the gods.,00:03:52.870,00:03:56.680,The Greeks used to imagine that it was a sign from the gods.
to foretell war or heavy rain.,00:03:56.980,00:03:58.810,to foretell war or heavy rain.
The Norsemen considered the rainbow as a bridge over which the gods passed from earth.,00:03:59.270,00:04:03.770,The Norsemen considered the rainbow as a bridge over which the gods passed from earth.
to their home in the sky.,00:04:03.960,00:04:05.270,to their home in the sky.
Others have tried to explain the phenomena.,00:04:06.130,00:04:08.260,Others have tried to explain the phenomena.
Physically,00:04:08.730,00:04:09.490,Physically
Aristotle thought that the rainbow was caused by reflection of sun's rain.,00:04:09.650,00:04:13.520,Aristotle thought that the rainbow was caused by reflection of sun's rain.
raised by the rain.,00:04:13.690,00:04:14.940,raised by the rain.
"Since then, physicists have found that",00:04:15.590,00:04:18.220,"Since then, physicists have found that"
It is not reflection but refraction by the raindrops which causes the rainbows.,00:04:18.500,00:04:22.590,It is not reflection but refraction by the raindrops which causes the rainbows.
Many complicated ideas about the rainbows have been formed. The difference in the rainbow depends considerably upon the size of the drops and the width of the colored band.,00:04:23.660,00:04:32.240,Many complicated ideas about the rainbows have been formed. The difference in the rainbow depends considerably upon the size of the drops and the width of the colored band.
increases as the size of the drops increases.,00:04:32.600,00:04:35.080,increases as the size of the drops increases.
The actual primary rainbow observed is said to be the effect of superimposition of a number of balls.,00:04:35.970,00:04:42.200,The actual primary rainbow observed is said to be the effect of superimposition of a number of balls.
"If the red of the second bow folks upon the green of the first,",00:04:42.700,00:04:46.070,"If the red of the second bow folks upon the green of the first,"
The result is,00:04:46.390,00:04:47.220,The result is
to give Dubbo with an abnormally wide yellow band.,00:04:47.720,00:04:50.550,to give Dubbo with an abnormally wide yellow band.
"Since red and green light when mixed form yellow,",00:04:50.920,00:04:53.690,"Since red and green light when mixed form yellow,"
"This is very common type of bow, one showing mainly red and yellow with little or no green or blue.",00:04:54.010,00:04:59.590,"This is very common type of bow, one showing mainly red and yellow with little or no green or blue."
